loop:1,season:59346890,P_air:0.04944257764044381,P_ice:0.01102584117344142,P_rego:0.03953158118611478,T_sub:164.303173857114
0,164.303173857114,771.2765151041705,174.5270608574813,0,164.303230747437,398.1037079379651
1,164.303173857114,768.6559380898707,174.6348332854879,0,164.303230747437,437.639915574535
2,164.303173857114,765.8736383842146,174.7384708858498,0,164.303230747437,478.782545862855
3,164.303173857114,761.5854461260724,174.8379872679021,0,164.303230747437,519.2751119354232
4,164.303173857114,755.6499311745757,174.9333954569201,0,164.303230747437,558.7340471612871
5,164.303173857114,748.0670963827794,175.0246684004682,0,164.303230747437,597.8064909730805
6,164.303173857114,738.8652512428978,175.1117467767127,0,164.303230747437,635.5526234121079
7,164.303173857114,728.078826467656,175.1946203843597,0,164.303230747437,672.5526149998427
8,164.303173857114,715.744466350154,175.2732126484339,0,164.303230747437,708.5164354358657
9,164.303173857114,701.9024477321501,175.3474942700682,0,164.303230747437,743.6730362852518
10,164.303173857114,686.5985806308425,175.4174422884387,0,164.303230747437,779.4440232522576
11,164.303173857114,669.7291817499296,175.4829743716517,0,164.303230747437,826.8246345537938
12,164.303173857114,651.0644671200274,175.5440928910436,0,164.303230747437,879.8365944783313
13,164.303173857114,630.4983417321051,175.6007621326819,0,164.303230747437,936.4416919193407
14,164.303173857114,607.9485209348661,175.6529173049626,0,164.303230747437,994.1672328511166
15,164.303173857114,583.332253790899,175.7005594954812,0,164.303230747437,1052.402521885296
16,164.303173857114,556.5586319494199,175.743672666142,0,164.303230747437,1112.244714240759
17,164.303173857114,527.524091097033,175.7821965375038,0,164.303230747437,1172.38624937919
18,164.303173857114,496.1069828467616,175.8161153200578,0,164.303230747437,1232.37435293581
19,164.303173857114,462.1609695868281,175.8454488990244,0,164.303230747437,1292.716863865434
20,164.303173857114,425.5053923089852,175.8701443404464,0,164.303230747437,1353.085402838445
21,164.303173857114,385.9098601183468,175.8901619722866,0,164.303230747437,1412.48092959962
22,164.303173857114,343.069063381032,175.9055434870479,0,164.303230747437,1473.307197492546
23,164.303173857114,296.552018274896,175.916265160322,0,164.303230747437,1437.074817855673
24,164.303173857114,245.6831925410218,175.9222827219558,0,164.303230747437,1308.948778655687
25,164.303173857114,189.1188921212108,175.9235852956779,0,164.303230747437,1189.352872862491
26,164.303173857114,124.7082058535289,175.920227190402,0,164.303230747437,1076.809346067714
27,164.303173857114,50.81456718310079,175.9121724856214,0,164.303230747437,970.6311895064097
28,171.4309824129979,0,178.2296056241694,0,164.303230747437,817.4023976868903
29,182.8483148842518,0,187.125111887426,0,164.303230747437,394.2030320292008
30,192.5483396371406,0,196.0085813357237,0,174.4629349288328,0
31,201.1878287929873,0,204.2470791080025,0,191.8559125140108,0
32,209.0526510961201,0,211.837489287624,0,202.6423477203966,0
33,216.3231025761983,0,218.8796423701305,0,211.3857645687492,0
34,223.1074151829473,0,225.4600178835096,0,219.1748513830588,0
35,229.3932411138979,0,231.4959309781418,0,226.1217102915741,0
36,234.4704892920797,0,236.1960042912625,0,231.6253621316218,0
37,238.0183922746966,0,239.546149040226,0,235.1121975078757,0
38,240.6965241094469,0,242.038051305448,0,237.6633386179384,0
39,242.839853027671,0,244.0039683854482,0,239.6841759169028,0
40,244.6200572832896,0,245.6159435178776,0,241.3519493212178,0
41,246.0722841322905,0,246.9049526178047,0,242.6981083253584,0
42,247.1601974063834,0,247.8238542847581,0,243.6751628100878,0
43,247.8990972233442,0,248.3850638086173,0,244.2955794517185,0
44,248.388692977068,0,248.6955053100852,0,244.6664377649695,0
45,248.7386667529869,0,248.8690233269863,0,244.9015997246927,0
46,249.0212407707626,0,248.9783663652143,0,245.0731549186249,0
47,249.2712894813113,0,249.0564351529518,0,245.2146250954705,0
48,249.502167535737,0,249.1156741409424,0,245.3383970597289,0
49,249.7180438579271,0,249.1600425135512,0,245.4482173019123,0
50,249.9199341045632,0,249.1905834938126,0,245.5449839786826,0
51,250.1079517855078,0,249.2071565595248,0,245.6288119370913,0
52,250.2819961201843,0,249.2097617089738,0,245.6996376285888,0
53,250.4419301880768,0,249.1984164579408,0,245.7573695060696,0
54,250.5876206359762,0,249.1731243403066,0,245.8019202437488,0
55,250.7189448573994,0,249.1336912833942,0,245.8332874774112,0
56,250.8357913318173,0,249.080073219701,0,245.8673953489638,0
57,250.938058905488,0,249.012290192934,0,245.921258721456,0
58,251.0256562787701,0,248.9303683714245,0,245.9934039196958,0
59,251.0985015793928,0,248.8342094707845,0,246.0788997511049,0
60,251.1565219343167,0,248.723786061526,0,246.1726745118385,0
61,251.1996530785009,0,248.5991398160055,0,246.2703432435768,0
62,251.2278389918224,0,248.4603189288716,0,246.368335687874,0
63,251.2410315641646,0,248.3072773237465,0,246.4638299470056,0
64,251.2391903207008,0,248.1400202995411,0,246.5546259180514,0
65,251.2222821681143,0,247.9586120054546,0,246.6390102823166,0
66,251.1902811714587,0,247.7631191217468,0,246.7156386694547,0
67,251.1431683659854,0,247.5535238932315,0,246.783444092431,0
68,251.0809315961507,0,247.3298751709977,0,246.8416288781522,0
69,251.0035653938931,0,247.0922604984464,0,246.8894902364226,0
70,250.9110708914827,0,246.8407531627779,0,246.9265134025148,0
71,250.8034557073237,0,246.5753637998644,0,246.952245265429,0
72,250.6807337478294,0,246.2961891225532,0,246.9663391710287,0
73,250.5429250073956,0,246.0033403721024,0,246.9684886475093,0
74,250.3900554980912,0,245.6968651591715,0,246.9584461422479,0
75,250.2221572705616,0,245.3768445739651,0,246.9359949891337,0
76,250.0392684296777,0,245.0434097089739,0,246.9009700081951,0
77,249.8414330858101,0,244.6966545600327,0,246.8532199417832,0
78,249.6287012618911,0,244.336656326413,0,246.7926203192125,0
79,249.4011288106381,0,243.9635605422939,0,246.7190757243019,0
