loop:1,season:59346890,P_air:4.994774198294836,P_ice:9.513011769334927e-06,P_rego:0.005216288693394261,T_sub:214.2944855693002
0,214.2944855693002,864.2845587532443,219.2085723959543,0,214.2944856602634,864.2887293789839
1,238.6188714504278,0,242.69753964731,0,236.4849687806028,0
2,246.8829894954536,0,250.681795736602,0,244.2897227170346,0
3,252.0522332368794,0,255.7422184280205,0,249.1725903429572,0
4,255.9778872027584,0,259.6268197935012,0,252.8816378152992,0
5,259.2734565951732,0,262.914789530352,0,255.9961083067812,0
6,262.2140507944638,0,265.8657820275274,0,258.7757090559136,0
7,264.9443870750217,0,268.6163339684234,0,261.3570289536739,0
8,267.5483030512573,0,271.2455042271367,0,263.8191784238837,0
9,270.0774590343137,0,273.8019765665593,0,266.2108921055818,0
10,272.5649715972048,0,276.3169327937534,0,268.5634019929158,0
11,275.0325727789217,0,278.8108121802335,0,270.8971968401307,0
12,277.4946642765072,0,281.2971388705361,0,273.2258495550548,0
13,279.9607522845278,0,283.7848202113024,0,275.5583155133621,0
14,282.4369799893904,0,286.2795930815369,0,277.9003788741568,0
15,284.9271295453182,0,288.7849693426487,0,280.2555980156479,0
16,287.4332980074842,0,291.3028734925685,0,282.6259431750819,0
17,289.9563653003847,0,293.834084020351,0,285.0122377894068,0
18,292.4963252877089,0,296.3785455631212,0,287.4144706385416,0
19,295.05252425965,0,298.9355937061509,0,289.8320206319954,0
20,297.6238353346312,0,301.5041193288842,0,292.2638211416972,0
21,300.2087875987008,0,304.0826902649068,0,294.7084816490307,0
22,302.8056627129717,0,306.6696422907308,0,297.1643787209188,0
23,305.4125677805018,0,309.2631477390309,0,299.629724610647,0
24,308.027490657373,0,311.86126757105,0,302.1026193180976,0
25,310.6483421314449,0,314.4619910801924,0,304.5810902814671,0
26,313.2729881795336,0,317.0632662541547,0,307.0631227277545,0
27,315.8992746644246,0,319.6630230213661,0,309.5466829078855,0
28,318.5250462290719,0,322.259191037614,0,312.0297358722472,0
29,321.1481607096135,0,324.8497132576213,0,314.5102590315126,0
30,323.7665000705462,0,327.4325562362977,0,316.9862524473616,0
31,326.3779786301617,0,330.0057178824531,0,319.6662636563439,0
32,328.9805491686204,0,332.5672332223255,0,322.3377780569626,0
33,331.5722073785214,0,335.1151786052715,0,324.9988384917912,0
34,334.1509950170037,0,337.6476746891299,0,327.6475311627291,0
35,336.7150020410705,0,340.1628884699219,0,330.281987671194,0
