loop:1,season:5.934689e7,P_air:7.68276173008142e-2,P_ice:1.2619325162780564e-2,P_rego:4.055305753640525e-2,T_sub:168.18822212804156
0,168.1882221280415600,959.4471083212558000,168.1882655213776400,408.5111103710796700,168.1882655213776400,860.9070228149467000
1,168.1882221280415600,956.0902366282365000,168.1882655213776400,345.7938508779913000,168.1882655213776400,895.8976961067664000
2,168.1882221280415600,953.1007224836762000,168.1882655213776400,283.4059092903723400,168.1882655213776400,931.2664384016208000
3,168.1882221280415600,948.6884293835759000,168.1882655213776400,217.8291653920585700,168.1882655213776400,964.1398070279880000
4,168.1882221280415600,942.6337334450735000,168.1882655213776400,152.2823590896705600,168.1882655213776400,994.0168334598590000
5,168.1882221280415600,934.9149971620969000,168.1882655213776400,86.1035742745574000,168.1882655213776400,1019.7549460714138000
6,168.1882221280415600,925.5564052753688000,168.1882655213776400,17.9219298290749980,168.1882655213776400,1040.3841703645571000
7,168.1882221280415600,914.5936145661484000,174.0252053599393500,0.0000000000000000,168.1882655213776400,1057.6132765700931000
8,168.1882221280415600,902.0666084129507000,176.3486290309423300,0.0000000000000000,168.1882655213776400,1071.4906887881803000
9,168.1882221280415600,888.0197530451660000,177.1637081103373500,0.0000000000000000,168.1882655213776400,1082.3214841413450000
10,168.1882221280415600,872.5019315559413000,177.5499390150609700,0.0000000000000000,168.1882655213776400,1090.5935573683241000
11,168.1882221280415600,855.4326135100816000,177.7816082921150700,0.0000000000000000,168.1882655213776400,1105.8386329749412000
12,168.1882221280415600,836.5773204847338000,177.9479873011464700,0.0000000000000000,168.1882655213776400,1123.3768933003170000
13,168.1882221280415600,815.8285553882629000,178.0861562173595300,0.0000000000000000,168.1882655213776400,1141.0455688827503000
14,168.1882221280415600,793.1081009327979000,178.2095711266251500,0.0000000000000000,168.1882655213776400,1159.1682572201330000
15,168.1882221280415600,768.3384053700851000,178.3242457372224400,0.0000000000000000,168.1882655213776400,1176.4111001275382000
16,168.1882221280415600,741.4340877713853000,178.4323744776709500,0.0000000000000000,168.1882655213776400,1104.0261475639970000
17,168.1882221280415600,712.2970300314330000,178.5355035129124400,0.0000000000000000,168.1882655213776400,1036.1808812183810000
18,168.1882221280415600,680.8114663217725000,178.6340851198365600,0.0000000000000000,168.1882655213776400,973.8476830044152000
19,168.1882221280415600,646.8381382863233000,178.7283603642074200,0.0000000000000000,168.1882655213776400,916.4265637961260000
20,168.1882221280415600,610.2054399596603000,178.8184339460979400,0.0000000000000000,168.1882655213776400,865.1564001233672000
21,168.1882221280415600,570.6959538297159000,178.9042872521237400,0.0000000000000000,168.1882655213776400,822.4498334435066000
22,168.1882221280415600,528.0237866045250000,178.9859312888223700,0.0000000000000000,168.1882655213776400,781.3974467080624000
23,168.1882221280415600,481.7918122154745000,179.0633178881626300,0.0000000000000000,168.1882655213776400,741.7943448945952000
24,168.1882221280415600,431.3954830356319000,179.1364012873731300,0.0000000000000000,168.1882655213776400,703.5993674273680000
25,168.1882221280415600,375.7560494733124000,179.2051723307253300,0.0000000000000000,168.1882655213776400,667.0295114627385000
26,168.1882221280415600,312.5338745487480000,179.2695622582960500,0.0000000000000000,168.1882655213776400,631.9434036464031000
27,168.1882221280415600,243.8607370612576200,179.3295453953051300,0.0000000000000000,168.1882655213776400,598.3405905895185000
28,168.1882221280415600,171.7242538658510400,179.3851132524260000,0.0000000000000000,168.1882655213776400,566.2233004371808000
29,168.1882221280415600,96.8045617620637300,179.4361944373556500,0.0000000000000000,168.1882655213776400,535.5066098731542000
30,169.6424722147859000,0.0000000000000000,179.5869171116191600,0.0000000000000000,168.1882655213776400,504.2634640093753000
31,183.1373652669444000,0.0000000000000000,187.4533006161496500,0.0000000000000000,168.1882655213776400,243.3798854194474000
32,193.6258288263180700,0.0000000000000000,196.8418746047860900,0.0000000000000000,181.0026020588421100,0.0000000000000000
33,202.9794547853661600,0.0000000000000000,205.7517327723901400,0.0000000000000000,196.9186734416990000,0.0000000000000000
34,211.4693109735427500,0.0000000000000000,213.9941103091679200,0.0000000000000000,207.2625367889566200,0.0000000000000000
35,219.2991008652791000,0.0000000000000000,221.6453720857603600,0.0000000000000000,215.6465035227628300,0.0000000000000000
36,226.5927878184381300,0.0000000000000000,228.8036446451554300,0.0000000000000000,223.0724333153759700,0.0000000000000000
37,233.0546369289647500,0.0000000000000000,234.9344266466052000,0.0000000000000000,229.7826290362652000,0.0000000000000000
38,237.7125866517102700,0.0000000000000000,239.4133372189516800,0.0000000000000000,234.5639814460217600,0.0000000000000000
39,241.2691222640149800,0.0000000000000000,242.8221217504945200,0.0000000000000000,237.9603582931197300,0.0000000000000000
40,244.0909768785251400,0.0000000000000000,245.5205042009004300,0.0000000000000000,240.6237142917438800,0.0000000000000000
41,246.3279093886830500,0.0000000000000000,247.6449871135003500,0.0000000000000000,242.7241648896325600,0.0000000000000000
42,248.0257592863569300,0.0000000000000000,249.2271804423157600,0.0000000000000000,244.3151269771928000,0.0000000000000000
43,249.2337244431887500,0.0000000000000000,250.3103917193730600,0.0000000000000000,245.4400214493530500,0.0000000000000000
44,250.0500283497683800,0.0000000000000000,250.9973402212178000,0.0000000000000000,246.1970994950214300,0.0000000000000000
45,250.5976568915048400,0.0000000000000000,251.4172546145194000,0.0000000000000000,246.7105948656093800,0.0000000000000000
46,250.9838654164985300,0.0000000000000000,251.6799212876740000,0.0000000000000000,247.0859696093335500,0.0000000000000000
47,251.2813986608027800,0.0000000000000000,251.8575606785293200,0.0000000000000000,247.3919344897110000,0.0000000000000000
48,251.5312457435225000,0.0000000000000000,251.9897167931119400,0.0000000000000000,247.6651792846964500,0.0000000000000000
49,251.7533443153588700,0.0000000000000000,252.0951999014171200,0.0000000000000000,247.9222001586391900,0.0000000000000000
50,251.9562275898148000,0.0000000000000000,252.1817753147077500,0.0000000000000000,248.1690605391064500,0.0000000000000000
51,252.1431110981946500,0.0000000000000000,252.2522711697526500,0.0000000000000000,248.4072781355048400,0.0000000000000000
52,252.3150246368063600,0.0000000000000000,252.3075927087541000,0.0000000000000000,248.6366876063199000,0.0000000000000000
53,252.4721989466476700,0.0000000000000000,252.3481024236979500,0.0000000000000000,248.8565995965956600,0.0000000000000000
54,252.6146067939015000,0.0000000000000000,252.3737408858127400,0.0000000000000000,249.0663541599168000,0.0000000000000000
55,252.7421513376283700,0.0000000000000000,252.3843650579957800,0.0000000000000000,249.2653182663232800,0.0000000000000000
56,252.8547249355444500,0.0000000000000000,252.3798637414506600,0.0000000000000000,249.4529316052715700,0.0000000000000000
57,252.9522254657957000,0.0000000000000000,252.3604569060636600,0.0000000000000000,249.6287448117267000,0.0000000000000000
58,253.0345601191225700,0.0000000000000000,252.3259868292998400,0.0000000000000000,249.7923611694273500,0.0000000000000000
59,253.1016458736276000,0.0000000000000000,252.2762163120475500,0.0000000000000000,249.9434386456406000,0.0000000000000000
60,253.1534092052971000,0.0000000000000000,252.2110754223486400,0.0000000000000000,250.0816900401130200,0.0000000000000000
61,253.1897856724360500,0.0000000000000000,252.1311912174778000,0.0000000000000000,250.2068453499579700,0.0000000000000000
62,253.2107195191245200,0.0000000000000000,252.0359055183473000,0.0000000000000000,250.3186838503064300,0.0000000000000000
63,253.2161633248110000,0.0000000000000000,251.9252564605620000,0.0000000000000000,250.4170088101184000,0.0000000000000000
64,253.2060777018591000,0.0000000000000000,251.7994481175154200,0.0000000000000000,250.5016438829334200,0.0000000000000000
