loop:1,season:59345225,P_air:4.994773891758967,P_ice:9.512598621906393e-06,P_rego:0.005216595642412052,T_sub:214.2944847505725
0,214.2944847505725,864.2470231176718,219.2065118567194,0,214.2944848415474,864.251193744189
1,238.6183243209481,0,242.6948885296894,0,236.4844460382952,0
2,246.882258664997,0,250.6789073807722,0,244.2890242324683,0
3,252.0513896636552,0,255.7391609835229,0,249.1717835986177,0
4,255.9769600408241,0,259.6236215129436,0,252.8807503782092,0
5,259.272461024743,0,262.9114653593517,0,255.9951544186527,0
6,262.2129956438487,0,265.862340887805,0,258.774696916456,0
7,264.9432777701077,0,268.6127815754843,0,261.3559635384958,0
8,267.547143002877,0,271.2418444145897,0,263.818062809036,0
9,270.0762503795796,0,273.7982119926663,0,266.2097281743394,0
10,272.5637156329394,0,276.3130653535254,0,268.5621908481086,0
11,275.0312702324851,0,278.8068432620498,0,270.8959390610049,0
12,277.4933154837682,0,281.2930695240296,0,273.224545365404,0
13,279.9593573114328,0,283.7806512613999,0,275.5569648958194,0
14,282.4355387175161,0,286.2753252081736,0,277.8989816501661,0
15,284.9256417334667,0,288.7806031376992,0,280.2541539026565,0
16,287.4317633367883,0,291.2984095011442,0,282.6244518281035,0
17,289.9547834077417,0,293.8295227710683,0,285.0106988315611,0
18,292.4946957907565,0,296.3738875904129,0,287.4128836836425,0
19,295.0508467754927,0,298.930839566729,0,289.8303853012933,0
20,297.6221094938791,0,301.4992696138365,0,292.2621370762602,0
21,300.2070130559434,0,304.0777456084957,0,294.706748518834,0
22,302.803839154517,0,306.6646033766795,0,297.1625962314233,0
23,305.4106949299999,0,309.258015304879,0,299.6278925074541,0
24,308.0255682797963,0,311.8560424110231,0,302.1007373901199,0
25,310.6463700357857,0,314.4566740469214,0,304.5791583629548,0
26,313.2709662205028,0,317.0578582595085,0,307.0611406994377,0
27,315.8972027433713,0,319.657525036599,0,309.5446506974358,0
28,318.5229242942966,0,322.2536040929895,0,312.0276534542199,0
29,321.1459887562155,0,324.8440384416361,0,314.5081264268915,0
30,323.7642781399131,0,327.4267946946064,0,316.9840697228094,0
31,326.37570680919,0,329.999870816571,0,319.6639588018261,0
32,328.978227588736,0,332.5613018881731,0,322.3353512494074,0
33,331.5698362145562,0,335.1091643116071,0,324.9962899724442,0
34,334.1485744859736,0,337.6415787959121,0,327.6448612358407,0
35,336.712532400889,0,340.1567123866299,0,330.2791967026607,0
36,339.2598494962467,0,342.6527797482877,0,332.8974747273842,0
37,341.7887155692031,0,345.1280438644648,0,335.4979210670386,0
38,344.2973709181448,0,347.5808162860795,0,338.0788091408229,0
39,346.7841062141314,0,350.0094570316301,0,340.6384599419654,0
40,349.2472620907552,0,352.4123742219513,0,343.1752416843767,0
41,351.6852285224912,0,354.7880235152496,0,345.6875692498128,0
42,354.0964440473397,0,357.134907394706,0,348.1739034879367,0
43,356.4793948781609,0,359.451574350369,0,350.632750410863,0
44,358.8326139379757,0,361.7366179883778,0,353.062660315336,0
45,361.1546798471591,0,363.9886760937546,0,355.4622268587137,0
46,363.4442158845657,0,366.2064296674842,0,357.830086109478,0
47,365.6998889398741,0,368.3886019540781,0,360.1649155884966,0
48,367.9204084706075,0,370.5339574723242,0,362.4654333136994,0
49,370.1045254742014,0,372.641301058979,0,364.7303968579323,0
50,372.2510314830059,0,374.7094769328573,0,366.9586024274428,0
51,374.3587575881065,0,376.737367784871,0,369.1488839665467,0
52,376.4265734962433,0,378.7238938980938,0,371.3001122925414,0
53,378.4533866227981,0,380.6680123007033,0,373.4111942637153,0
54,380.4381412228274,0,382.568715953691,0,375.4810719823391,0
55,382.3798175612484,0,384.4250329744388,0,377.5087220337381,0
56,384.2774311226858,0,386.2360258966983,0,379.4931547619625,0
57,386.1300318609308,0,388.0007909669777,0,381.4334135820738,0
58,387.9367034876139,0,389.7184574769935,0,383.3285743286904,0
59,389.6965627993465,0,391.3881871315658,0,385.1777446401712,0
60,391.4087590423899,0,393.0091734511008,0,386.9800633775589,0
61,393.0724733137185,0,394.5806412076435,0,388.7347000772908,0
62,394.6869179972477,0,396.1018458933996,0,390.4408544365324,0
63,396.2513362338909,0,397.572073220474,0,392.097755829931,0
64,397.7650014240833,0,398.9906386506497,0,393.7046628565375,0
65,399.2272167613859,0,400.3568869538645,0,395.260862915619,0
66,400.6373147957635,0,401.6701917941522,0,396.7656718100599,0
67,401.9946570251648,0,402.9299553417584,0,398.2184333761174,0
68,403.29863351405,0,404.1356079101966,0,399.6185191382411,0
69,404.5486625375435,0,405.2866076170324,0,400.9653279877584,0
70,405.7441902499453,0,406.3824400672073,0,402.2582858842508,0
71,406.8846903763663,0,407.4226180577851,0,403.496845578461,0
72,407.9696639263213,0,408.4066813030373,0,404.6804863556761,0
73,408.9986389281636,0,409.3341961788252,0,405.8087137985003,0
74,409.9711701832965,0,410.2047554853051,0,406.8810595681039,0
75,410.8868390391646,0,411.0179782270288,0,407.8970812029275,0
76,411.7452531800899,0,411.7735094095768,0,408.8563619340372,0
77,412.5460464350593,0,412.4710198518814,0,409.7585105162852,0
78,413.2888786016508,0,413.1102060135113,0,410.6031610744791,0
79,413.9734352853308,0,413.6907898361836,0,411.3899729638899,0
80,414.5994277534172,0,414.2125185988541,0,412.1186306444071,0
81,415.1665928030606,0,414.6751647857826,0,412.7888435677353,0
82,415.6746926426482,0,415.0785259670351,0,413.4003460771063,0
83,416.1235147860978,0,415.4224246909005,0,413.9528973189422,0
84,416.5128719595528,0,415.7067083878013,0,414.446281166085,0
85,416.8426020200549,0,415.931249285269,0,414.8803061521358,0
86,417.1125678858148,0,416.0959443336578,0,415.2548054165664,0
87,417.3226574777534,0,416.2007151422908,0,415.5696366603032,0
88,417.4727836720472,0,416.2455079257768,0,415.8246821115154,0
89,417.562884263447,0,416.2302934602999,0,416.0198485013858,0
90,417.5929219391979,0,416.1550670497256,0,416.1550670497256,0
91,417.562884263447,0,416.0198485013858,0,416.2302934602999,0
92,417.4727836720472,0,415.8246821115154,0,416.2455079257768,0
93,417.3226574777534,0,415.5696366603032,0,416.2007151422908,0
94,417.1125678858148,0,415.2548054165664,0,416.0959443336578,0
95,416.8426020200549,0,414.8803061521358,0,415.931249285269,0
96,416.5128719595528,0,414.446281166085,0,415.7067083878013,0
97,416.1235147860978,0,413.9528973189422,0,415.4224246909005,0
98,415.6746926426482,0,413.4003460771063,0,415.0785259670351,0
99,415.1665928030606,0,412.7888435677353,0,414.6751647857826,0
100,414.5994277534172,0,412.1186306444071,0,414.2125185988541,0
101,413.9734352853308,0,411.3899729638899,0,413.6907898361836,0
