loop:1,season:59346705,P_air:4.993271746405979,P_ice:0,P_rego:0.006728253594021293,T_sub:214.2904722237657
0,355.7441652534353,0,355.7444465630111,0,355.7444465630111,0
1,366.4807732747511,0,366.5487859011485,0,366.5487859011485,0
2,370.0554740555128,0,370.1354595961579,0,370.1354595961579,0
3,372.1938647713584,0,372.2712751791663,0,372.2712751791663,0
4,373.7143943588136,0,373.7801469944204,0,373.7801469944204,0
5,374.8909907080956,0,374.9373216981309,0,374.9373216981309,0
6,375.8497361412698,0,375.8688412020613,0,375.8688412020613,0
7,376.6605497571608,0,376.6437790573125,0,376.6437790573125,0
8,377.3679468999937,0,377.3050759259299,0,377.3050759259299,0
9,378.003966647335,0,377.8823624085783,0,377.8823624085783,0
10,378.5946431401539,0,378.3982566383226,0,378.3982566383226,0
11,379.1635917346341,0,378.8836871422268,0,378.8836871422268,0
12,379.7263355440946,0,379.3690052968667,0,379.3690052968667,0
13,380.2931389743299,0,379.8679263183803,0,379.8679263183803,0
14,380.8713045674371,0,380.3882509208489,0,380.3882509208489,0
15,381.4661758863792,0,380.9348548555582,0,380.9348548555582,0
16,382.0816903350574,0,381.5108982618965,0,381.5108982618965,0
17,382.7207158616172,0,382.1184005962669,0,382.1184005962669,0
18,383.3852728091172,0,382.758578277329,0,382.758578277329,0
19,384.0766886200734,0,383.4320325435021,0,383.4320325435021,0
20,384.7957102406845,0,384.1388615675774,0,384.1388615675774,0
21,385.5425887501862,0,384.8787346361228,0,384.8787346361228,0
22,386.3171454168797,0,385.6509407235322,0,385.6509407235322,0
23,387.1188252071267,0,386.4544832375247,0,386.4544832375247,0
24,387.9467417274834,0,387.2880115406024,0,387.2880115406024,0
25,388.7997162345303,0,388.1499657020898,0,388.1499657020898,0
26,389.6763124567851,0,389.0385220081361,0,389.0385220081361,0
27,390.5748683771744,0,389.9516691422644,0,389.9516691422644,0
28,391.4935257192652,0,390.8872139145279,0,390.8872139145279,0
29,392.4302576017145,0,391.8428218135107,0,391.8428218135107,0
30,393.3828946335827,0,392.8160234099288,0,392.8160234099288,0
31,394.3491495927503,0,393.8042617864498,0,393.8042617864498,0
32,395.3266407435495,0,394.8048886776197,0,394.8048886776197,0
33,396.3129137957736,0,395.815201370975,0,395.815201370975,0
34,397.3054624768106,0,396.8324678259862,0,396.8324678259862,0
35,398.3017476753079,0,397.853934053919,0,397.853934053919,0
36,399.2992151136961,0,398.8768490146474,0,398.8768490146474,0
37,400.2953115143197,0,399.8984827256338,0,399.8984827256338,0
38,401.2874992369297,0,400.9161446328915,0,400.9161446328915,0
39,402.2732693816022,0,401.9271720814805,0,401.9271720814805,0
40,403.2501533690105,0,402.9289788100895,0,402.9289788100895,0
41,404.2157330279067,0,403.9190501053835,0,403.9190501053835,0
42,405.1676492367997,0,404.8949136925198,0,404.8949136925198,0
43,406.1036091821904,0,405.8542239925559,0,405.8542239925559,0
44,407.021392309015,0,406.7946735888742,0,406.7946735888742,0
45,407.9188550497381,0,407.7140944290786,0,407.7140944290786,0
46,408.7939344267144,0,408.6103589487959,0,408.6103589487959,0
47,409.6446506280407,0,409.4814875678208,0,409.4814875678208,0
48,410.4691086601866,0,410.3255388453808,0,410.3255388453808,0
49,411.2654991815023,0,411.1407094079686,0,411.1407094079686,0
50,412.0320986193955,0,411.9252698030325,0,411.9252698030325,0
51,412.7672686709436,0,412.6775675114169,0,412.6775675114169,0
52,413.4694552821755,0,413.3960800236009,0,413.3960800236009,0
53,414.1371871955595,0,414.0793218709927,0,414.0793218709927,0
54,414.7690741486905,0,414.7259258538012,0,414.7259258538012,0
55,415.363804800011,0,415.3346092694312,0,415.3346092694312,0
56,415.9201444499092,0,415.904122722602,0,415.904122722602,0
57,416.436932617945,0,416.4333522039462,0,416.4333522039462,0
58,416.9130805294082,0,416.9212267466857,0,416.9212267466857,0
59,417.3475685571397,0,417.3667219589365,0,417.3667219589365,0
60,417.7394436575869,0,417.7689261323791,0,417.7689261323791,0
61,418.0878168335943,0,418.1269775146218,0,418.1269775146218,0
62,418.3918606504498,0,418.4400416775483,0,418.4400416775483,0
63,418.650806826316,0,418.7073733315093,0,418.7073733315093,0
64,418.8639439133212,0,418.928307982348,0,418.928307982348,0
65,419.0306150813542,0,419.1021804702968,0,419.1021804702968,0
66,419.1502160129115,0,419.2283854192424,0,419.2283854192424,0
67,419.2221929141946,0,419.3064246563563,0,419.3064246563563,0
68,419.246040645028,0,419.335799172506,0,419.335799172506,0
69,419.2213009679703,0,419.3160394331871,0,419.3160394331871,0
70,419.147560915256,0,419.2467429862337,0,419.2467429862337,0
71,419.0244512708242,0,419.1275965527531,0,419.1275965527531,0
72,418.8516451636303,0,418.958261599574,0,418.958261599574,0
73,418.6288567676946,0,418.7384358407019,0,418.7384358407019,0
74,418.3558401038166,0,418.4678928319862,0,418.4678928319862,0
75,418.0323879375802,0,418.1464788040078,0,418.1464788040078,0
76,417.6583307681461,0,417.7740036048405,0,417.7740036048405,0
77,417.2335359023132,0,417.3503101066579,0,417.3503101066579,0
78,416.7579066084698,0,416.8753194616365,0,416.8753194616365,0
79,416.2313813452353,0,416.3490371546427,0,416.3490371546427,0
80,415.6539330598796,0,415.7714065417106,0,415.7714065417106,0
81,415.0255685519114,0,415.1423984240492,0,415.1423984240492,0
82,414.3463278975754,0,414.4620525030083,0,414.4620525030083,0
83,413.616283931397,0,413.7305497653768,0,413.7305497653768,0
84,412.8355417812558,0,412.9479566611867,0,412.9479566611867,0
85,412.0042384539051,0,412.1143478945105,0,412.1143478945105,0
86,411.1225424682229,0,411.2298502647391,0,411.2298502647391,0
87,410.1906535338706,0,410.294874146553,0,410.294874146553,0
88,409.2088022734453,0,409.3095947601927,0,409.3095947601927,0
89,408.1772499865606,0,408.2740930148671,0,408.2740930148671,0
90,407.0962884546953,0,407.188596373868,0,407.188596373868,0
91,405.9662397860088,0,406.0540443033825,0,406.0540443033825,0
92,404.7874562996858,0,404.870174416833,0,404.870174416833,0
93,403.5603204497554,0,403.6374361360138,0,403.6374361360138,0
94,402.2852447886892,0,402.3564250482548,0,402.3564250482548,0
95,400.962671971445,0,401.0276418562839,0,401.0276418562839,0
96,399.5930748010226,0,399.6513513281147,0,399.6513513281147,0
97,398.1769563169577,0,398.2281008407602,0,398.2281008407602,0
98,396.7148499285836,0,396.7584887081533,0,396.7584887081533,0
99,395.2073195952885,0,395.243120184461,0,395.243120184461,0
100,393.6549600564024,0,393.6824844001342,0,393.6824844001342,0
101,392.0583971137752,0,392.0772101530383,0,392.0772101530383,0
102,390.4182879705248,0,390.4279930985966,0,390.4279930985966,0
103,388.7353216298728,0,388.7355542235924,0,388.7355542235924,0
104,387.0102193584135,0,387.0005504690758,0,387.0005504690758,0
105,385.2437352185829,0,385.223720355554,0,385.223720355554,0
106,383.4366566755132,0,383.4058781261238,0,383.4058781261238,0
107,381.5898052838218,0,381.5478684261203,0,381.5478684261203,0
108,379.7040374602503,0,379.650496401361,0,379.650496401361,0
109,377.7802453483217,0,377.7146371009231,0,377.7146371009231,0
110,375.8193577814168,0,375.7412379030463,0,375.7412379030463,0
111,373.8223413507362,0,373.7312786124592,0,373.7312786124592,0
112,371.7902015846217,0,371.6857116573795,0,371.6857116573795,0
113,369.7239842454758,0,369.605574142888,0,369.605574142888,0
114,367.6247767501366,0,367.4919659778199,0,367.4919659778199,0
115,365.493709718931,0,365.3460134999373,0,365.3460134999373,0
116,363.3319586576997,0,363.1688384264988,0,363.1688384264988,0
117,361.1407457758252,0,360.9616662870214,0,360.9616662870214,0
118,358.9213419416827,0,358.7257756743884,0,358.7257756743884,0
119,356.6750687748643,0,356.4624445736924,0,356.4624445736924,0
120,354.4033008719987,0,354.1730242114509,0,354.1730242114509,0
121,352.1074681599548,0,351.8589517380422,0,351.8589517380422,0
122,349.7890583666061,0,349.5216893870654,0,349.5216893870654,0
123,347.449619595162,0,347.1627446240888,0,347.1627446240888,0
124,345.0907629832801,0,344.7837319757733,0,344.7837319757733,0
125,342.7141654227796,0,342.3863104326832,0,342.3863104326832,0
126,340.3215723098068,0,339.9721819413183,0,339.9721819413183,0
127,337.9148002887412,0,337.5431718723656,0,337.5431718723656,0
128,335.4957399461139,0,335.1011442032034,0,335.1011442032034,0
129,333.066358403364,0,332.6480416200872,0,332.6480416200872,0
130,330.6287017495375,0,330.1859228177076,0,330.1859228177076,0
131,328.1848972471923,0,327.7168828506503,0,327.7168828506503,0
132,325.7371552369835,0,325.2431410154058,0,325.2431410154058,0
133,323.2877706589136,0,322.7669974763618,0,322.7669974763618,0
134,320.8391241013078,0,320.2908306161247,0,320.2908306161247,0
135,318.3936822824279,0,317.8171390946903,0,317.8171390946903,0
136,315.953997864704,0,315.3484817458843,0,315.3484817458843,0
137,313.5227084980461,0,312.8875536534699,0,312.8875536534699,0
138,311.1025349869807,0,310.4371025492929,0,310.4371025492929,0
139,308.6962784767303,0,308.0000084372842,0,308.0000084372842,0
140,306.3068165561343,0,305.5792036768536,0,305.5792036768536,0
141,303.9370981806465,0,303.1777438514486,0,303.1777438514486,0
142,301.5901373268094,0,300.7987409320907,0,300.7987409320907,0
143,299.2690053005528,0,298.4453864354419,0,298.4453864354419,0
144,296.9768216354159,0,296.1209494834711,0,296.1209494834711,0
145,294.7167435330871,0,293.8287462455322,0,293.8287462455322,0
146,292.4919538171229,0,291.5721248847778,0,291.5721248847778,0
147,290.3056473907275,0,289.3545001147394,0,289.3545001147394,0
148,288.1610162102172,0,287.1792724490591,0,287.1792724490591,0
149,286.0612328060719,0,285.0498529495142,0,285.0498529495142,0
150,284.0094324018604,0,282.9696332152142,0,282.9696332152142,0
151,282.0086936959041,0,280.9419722221394,0,280.9419722221394,0
152,280.0620183789219,0,278.9701573238382,0,278.9701573238382,0
153,278.1723094601517,0,277.0574117637268,0,277.0574117637268,0
154,276.3423484606014,0,275.2068464868444,0,275.2068464868444,0
155,274.5747715002556,0,273.4214540134334,0,273.4214540134334,0
156,272.8720442494536,0,271.7040909944414,0,271.7040909944414,0
157,271.2364356240786,0,270.0574362448655,0,270.0574362448655,0
158,269.6699899665931,0,268.4839478028946,0,268.4839478028946,0
159,268.1744972508872,0,266.9858115460424,0,266.9858115460424,0
160,266.7514605477643,0,265.5650593553453,0,265.5650593553453,0
161,265.4020595393748,0,264.2234203781407,0,264.2234203781407,0
162,264.1271081926002,0,262.9623356308155,0,262.9623356308155,0
163,262.9270036656591,0,261.7829086346072,0,261.7829086346072,0
164,261.8016619379231,0,260.6858345827216,0,260.6858345827216,0
165,260.7504331806728,0,259.6713238078557,0,259.6713238078557,0
166,259.7719856575373,0,258.7389314234516,0,258.7389314234516,0
167,258.8641383732856,0,257.8873154473922,0,257.8873154473922,0
168,258.0236027095058,0,257.1136339446692,0,257.1136339446692,0
169,257.2455446288403,0,256.4124530220398,0,256.4124530220398,0
170,256.5227550072148,0,255.7725752265207,0,255.7725752265207,0
171,255.8436217074463,0,255.1665599697696,0,255.1665599697696,0
172,255.1897293125971,0,254.5723065454141,0,254.5723065454141,0
173,254.5422633704052,0,253.9750992122459,0,253.9750992122459,0
174,253.8797299453725,0,253.3567398458452,0,253.3567398458452,0
175,253.1739970322447,0,252.6920032498683,0,252.6920032498683,0
176,252.3827060350716,0,251.9415432819096,0,251.9415432819096,0
177,251.431544859383,0,251.0350355720559,0,251.0350355720559,0
178,250.1618195709914,0,249.8210282354944,0,249.8210282354944,0
179,248.1043950667324,0,247.8503577784171,0,247.8503577784171,0
180,241.9979180236191,0,241.9975348105862,0,241.9975348105862,0
