loop:1,season:5.93454e+07,P_air:8.46552e-07,P_ice:0,P_rego:0.00699915,T_sub:104.81
0,230.5668105948839,0,232.2642199748185,0,232.7804863813705,0
1,230.5613631634316,0,232.3830462473692,0,232.6420229033076,0
2,230.5450264070797,0,232.4918241166831,0,232.493746030532,0
3,230.5178081257769,0,232.590403157893,0,232.3358296749601,0
4,230.4797214164259,0,232.6786503183147,0,232.1685257565304,0
5,230.4307847335674,0,232.75645014705,0,231.9921385459596,0
6,230.3710188895722,0,232.823698959798,0,231.8070525661412,0
7,230.300453109207,0,232.8803032394634,0,231.6136869878611,0
8,230.2191255126222,0,232.9262261744211,0,231.4125887794198,0
9,230.1270746490998,0,232.9613793983533,0,231.2044197497355,0
10,230.031692234072,0,232.9857922041736,0,230.9900281865886,0
11,229.9415924154151,0,233.0008607306762,0,229.9658946786462,0
12,229.8784873839996,0,233.0139286854698,0,228.8702604100384,0
13,229.8499887845754,0,233.0337717740628,0,227.8940077370444,0
14,229.8578519976009,0,233.0669635177004,0,227.093770203692,0
15,229.9008882572864,0,233.1178026233756,0,226.4746551572447,0
16,229.9766205008788,0,233.188712360477,0,227.0456419552175,0
17,230.0815752434155,0,233.280871962052,0,227.7332273961472,0
18,230.2298757942596,0,233.394352125641,0,228.5068890450316,0
19,230.4102241554253,0,233.5280750459842,0,229.3207000906924,0
20,230.617137743902,0,233.6808620332823,0,230.0020691398005,0
21,230.8479742321529,0,233.851241798424,0,230.0988978243896,0
22,231.1002964480031,0,234.0377581858246,0,230.2116652361998,0
23,231.3719088329546,0,234.2389312287978,0,230.3550825382081,0
24,231.6609922517947,0,234.453529407163,0,230.5127676272909,0
25,231.9664523018879,0,234.6809668576624,0,230.6841359307976,0
26,232.2891055685038,0,234.9224199812609,0,230.8704271970587,0
27,232.6226771642793,0,235.1719535461594,0,231.0657232027002,0
28,232.961960269628,0,235.4246617777976,0,231.2651216622873,0
29,233.3039028731174,0,235.6776892519032,0,231.4658340246841,0
30,233.6462591056982,0,235.9290107351383,0,231.6658453268229,0
31,233.9872630704334,0,236.1770689767149,0,231.8635942067113,0
32,234.3254774614864,0,236.4205480470952,0,232.0578262297234,0
33,234.6597123928975,0,236.6583958615977,0,232.2475163974885,0
34,234.9889665556837,0,236.8897864404505,0,232.4318132249443,0
35,235.3123909496619,0,237.1139576762074,0,232.6100048857888,0
36,235.6292449822896,0,237.3302441841304,0,232.7814771069214,0
37,235.9388931798327,0,237.5381586789876,0,232.9457114748683,0
38,236.2407761542338,0,237.7372318979081,0,233.1022576725031,0
39,236.5344017037489,0,237.9270215062494,0,233.250725681041,0
40,236.8193321559749,0,238.1071546485321,0,233.3907739554017,0
41,237.0951811572542,0,238.2773855380841,0,233.5360728405083,0
42,237.3615977462774,0,238.437408003568,0,233.7047582191113,0
43,237.6182694551459,0,238.586937921974,0,233.8953856832389,0
44,237.8649124487874,0,238.7257578664776,0,234.1027904484809,0
45,238.1012680237726,0,238.8537436135505,0,234.3217166247518,0
46,238.3271035930135,0,238.9706794929563,0,234.5476375768852,0
47,238.5422043692355,0,239.0763653520468,0,234.7769283971242,0
48,238.746376438332,0,239.170667206331,0,235.0067175113828,0
49,238.9394386699957,0,239.2535501335083,0,235.2347782421213,0
50,239.1212293926847,0,239.3248528049007,0,235.4593662114318,0
51,239.2915968642316,0,239.3844179104596,0,235.6791168049814,0
52,239.4504017844282,0,239.432146131357,0,235.8929448400047,0
53,239.5975181323968,0,239.4681048988119,0,236.0999378110923,0
54,239.7328283291829,0,239.4921587893561,0,236.2994209799306,0
