loop:1,season:59345780,P_air:4.989179294989851,P_ice:0,P_rego:0.0108207050101484,T_sub:214.2795347109636
0,593.2163819496272,0,590.4926112382511,0,590.9548385376912,0
1,590.4056378944194,0,588.3289226589827,0,589.0182589788817,0
2,589.407752605068,0,587.4779838424805,0,588.3946168945063,0
3,588.7119883567123,0,586.8356630561092,0,587.9801221244683,0
4,588.0961745675445,0,586.2376670573259,0,587.6107468701359,0
5,587.4834240521104,0,585.6263931119178,0,587.2283617056095,0
6,586.8373266133212,0,584.9739133419574,0,586.8030207692902,0
7,586.1374862629867,0,584.2643988494073,0,586.3135185647989,0
8,585.3712464383085,0,583.4877103108033,0,585.7487610627753,0
9,584.5302199720586,0,582.6370777373297,0,585.1023280735843,0
10,583.6086087046996,0,581.7076712602199,0,584.3697849829558,0
11,582.6023000726844,0,580.6960220672362,0,583.548003486583,0
12,581.508340978094,0,579.5996038096907,0,582.6347627882993,0
13,580.324611368303,0,578.416540719712,0,581.6285000465526,0
14,579.0496111381593,0,577.1455022776748,0,580.5281459674096,0
15,577.6823152396641,0,575.7855395926173,0,579.3330118563611,0
16,576.2220721805893,0,574.3360448250368,0,578.0427093502271,0
17,574.6685319744299,0,572.796647867029,0,576.6570918747855,0
18,573.0215962736527,0,571.1672222370863,0,575.1762112832084,0
19,571.2813887615121,0,569.4478170314142,0,573.6002858874157,0
20,569.448250349784,0,567.6386178523389,0,571.9296782236577,0
21,567.5227748671267,0,565.7399478439486,0,570.1648832418703,0
22,565.5059235436537,0,563.7523473882713,0,568.3065313464465,0
23,563.3993042852252,0,561.6765012218262,0,566.3554180422685,0
24,561.2057968987153,0,559.5132872706093,0,564.3125873887469,0
25,558.930837475586,0,557.2641467067186,0,562.1795287049595,0
26,556.5792429239725,0,554.9310090592564,0,559.9583007187266,0
27,554.1541812355792,0,552.5161214163518,0,557.6512061314992,0
28,551.6582749775198,0,550.0217851148442,0,555.2606486343512,0
29,549.0938447266335,0,547.4503821460418,0,552.7890654446475,0
30,546.4630117673948,0,544.8042975245742,0,550.2388911653604,0
31,543.7677617076095,0,542.0858678622878,0,547.612537714803,0
32,541.0099861188608,0,539.2974274700864,0,544.9123836252459,0
33,538.1915107345283,0,536.4412686206728,0,542.1407691692482,0
34,535.3141155378268,0,533.5196436546486,0,539.2999951895997,0
35,532.3795496689058,0,530.5347861603143,0,536.3923242936478,0
36,529.3895428295725,0,527.4888943594182,0,533.419983544415,0
37,526.3458142385718,0,524.3841084799492,0,530.3851680755853,0
