loop:1,season:59346150,P_air:4.814705991821023e-08,P_ice:0,P_rego:0.006999951852940082,T_sub:96.02111573391107
0,276.1225051200509,0,276.1211520561894,0,276.1211520561894,0
1,276.1098794559236,0,276.0968199869645,0,276.0968199869645,0
2,276.0720062100465,0,276.0472443168906,0,276.0472443168906,0
3,276.0088969208577,0,275.9724401517865,0,275.9724401517865,0
4,275.9205709554217,0,275.8724304210806,0,275.8724304210806,0
5,275.8070551123032,0,275.7472454823322,0,275.7472454823322,0
6,275.6683841328892,0,275.5969236314372,0,275.5969236314372,0
7,275.5046001716176,0,275.421510571805,0,275.421510571805,0
8,275.3157531727601,0,275.2210597900464,0,275.2210597900464,0
9,275.1019008562816,0,274.9956325407281,0,274.9956325407281,0
10,274.8631084396563,0,274.7452975671557,0,274.7452975671557,0
11,274.5994486164652,0,274.4701310788948,0,274.4701310788948,0
12,274.3110019286995,0,274.1702171229521,0,274.1702171229521,0
13,273.9978562156598,0,273.8456470316774,0,273.8456470316774,0
14,273.6601071159664,0,273.4965199236431,0,273.4965199236431,0
15,273.2978576421851,0,273.1229422772627,0,273.1229422772627,0
16,272.9112182810845,0,272.72502802996,0,272.72502802996,0
17,272.5003069605445,0,272.3028985440436,0,272.3028985440436,0
18,272.0652490135629,0,271.8566825696631,0,271.8566825696631,0
19,271.6061771399414,0,271.3865162054445,0,271.3865162054445,0
20,271.1232313665019,0,270.892542857685,0,270.892542857685,0
21,270.6165591433453,0,270.3749133355665,0,270.3749133355665,0
22,270.0863147437232,0,269.8337852500476,0,269.8337852500476,0
23,269.5326603310354,0,269.2693240797494,0,269.2693240797494,0
24,268.9557671153075,0,268.6817017306761,0,268.6817017306761,0
25,268.359676592929,0,268.075926201223,0,268.075926201223,0
26,267.7528020006808,0,267.460386391882,0,267.460386391882,0
27,267.1392323333897,0,266.8386621478801,0,266.8386621478801,0
28,266.5213858003866,0,266.2131398702181,0,266.2131398702181,0
29,265.9008416635786,0,265.5853280734823,0,265.5853280734823,0
30,265.2786577923958,0,264.9561844975299,0,264.9561844975299,0
31,264.6555387530804,0,264.3264563106263,0,264.3264563106263,0
32,264.0319382453974,0,263.6964784300096,0,263.6964784300096,0
33,263.408128294826,0,263.0666067392934,0,263.0666067392934,0
34,262.7842458263945,0,262.4368630128623,0,262.4368630128623,0
35,262.1603274344657,0,261.8073555105775,0,261.8073555105775,0
36,261.5363343412802,0,261.1779578410513,0,261.1779578410513,0
37,260.9121722708275,0,260.5486330452455,0,260.5486330452455,0
38,260.2877058953509,0,259.9191886534126,0,259.9191886534126,0
39,259.6627701240341,0,259.2894864367967,0,259.2894864367967,0
40,259.0371794149511,0,258.6593183884071,0,258.6593183884071,0
41,258.4107345114003,0,258.0284777050834,0,258.0284777050834,0
42,257.7832285840989,0,257.3967726124043,0,257.3967726124043,0
43,257.1544507924253,0,256.7639718422849,0,256.7639718422849,0
44,256.5241911160559,0,256.1298665642286,0,256.1298665642286,0
45,255.8922416971018,0,255.4942474131184,0,255.4942474131184,0
46,255.2584006024439,0,254.8569073322144,0,254.8569073322144,0
47,254.6224724564857,0,254.2176482603388,0,254.2176482603388,0
48,253.9842702032999,0,253.576286395987,0,253.576286395987,0
49,253.3436163977563,0,252.9326609975993,0,252.9326609975993,0
50,252.7003440494039,0,252.2865752694419,0,252.2865752694419,0
51,252.0542965418374,0,251.6378452359433,0,251.6378452359433,0
52,251.4053291725568,0,250.9863790997273,0,250.9863790997273,0
53,250.7533087466558,0,250.3320475404549,0,250.3320475404549,0
54,250.0981133824536,0,249.6746754015935,0,249.6746754015935,0
55,249.4396334786759,0,249.0141994279295,0,249.0141994279295,0
56,248.7777707543379,0,248.3504904639508,0,248.3504904639508,0
57,248.1124374622538,0,247.6834796146852,0,247.6834796146852,0
58,247.4435582295397,0,247.0130703614421,0,247.0130703614421,0
59,246.7710660735536,0,246.3392036159168,0,246.3392036159168,0
60,246.0949035435783,0,245.66183806166,0,245.66183806166,0
61,245.4150201260846,0,244.9809046987967,0,244.9809046987967,0
62,244.7313700201997,0,244.2963644083275,0,244.2963644083275,0
63,244.0439074612792,0,243.6081677356742,0,243.6081677356742,0
64,243.3525806129315,0,242.9162545739784,0,242.9162545739784,0
65,242.6573217746069,0,242.220569363905,0,242.220569363905,0
66,241.9580300487721,0,241.5210217662303,0,241.5210217662303,0
67,241.2545399643858,0,240.8174127259695,0,240.8174127259695,0
68,240.5465756122149,0,240.1094842466289,0,240.1094842466289,0
69,239.8336758987988,0,239.3967851852068,0,239.3967851852068,0
70,239.1151845540695,0,238.6786427473633,0,238.6786427473633,0
71,238.3912814922362,0,237.9552366319146,0,237.9552366319146,0
72,237.6873643322969,0,237.2519938026389,0,237.2519938026389,0
73,236.9360026400173,0,236.5015077590997,0,236.5015077590997,0
74,235.9421816612018,0,235.5088632142708,0,235.5088632142708,0
75,234.6597354413223,0,234.2288487633968,0,234.2288487633968,0
76,233.0209433442136,0,232.5943016590079,0,232.5943016590079,0
77,230.9406658285647,0,230.5217621380058,0,230.5217621380058,0
78,227.9024374828049,0,227.4740341572632,0,227.4740341572632,0
79,224.5655595990519,0,224.1388661413488,0,224.1388661413488,0
80,221.2587368475931,0,220.8339070646014,0,220.8339070646014,0
81,217.9853945241956,0,217.5625940202216,0,217.5625940202216,0
82,214.7492476711735,0,214.3285813877255,0,214.3285813877255,0
83,211.554369289934,0,211.1360319760384,0,211.1360319760384,0
84,208.4052869362987,0,207.9893801890557,0,207.9893801890557,0
85,205.3071238283946,0,204.893791755723,0,204.893791755723,0
86,202.2658197869118,0,201.8552515661334,0,201.8552515661334,0
87,199.2885047736307,0,198.8807489824953,0,198.8807489824953,0
88,196.3842140492714,0,195.9795353876601,0,195.9795353876601,0
89,193.5655731273514,0,193.1640242008267,0,193.1640242008267,0
90,190.8556421014804,0,190.4571533284496,0,190.4571533284496,0
91,188.2945838284398,0,187.8997316538821,0,187.8997316538821,0
92,185.8438279343138,0,185.4525407051645,0,185.4525407051645,0
93,183.4819060937894,0,183.0942322964682,0,183.0942322964682,0
94,181.1977829452823,0,180.8139812447484,0,180.8139812447484,0
95,178.9840110854823,0,178.6041219095387,0,178.6041219095387,0
96,176.8350452556408,0,176.4592474402377,0,176.4592474402377,0
97,174.746526064611,0,174.3749518446691,0,174.3749518446691,0
98,172.7149052037963,0,172.3476417243395,0,172.3476417243395,0
99,170.7372239809655,0,170.3744494932324,0,170.3744494932324,0
100,168.8109699000282,0,168.4527718856854,0,168.4527718856854,0
101,166.9339780595854,0,166.5805004585623,0,166.5805004585623,0
102,165.1043601510183,0,164.7557353322276,0,164.7557353322276,0
103,163.3204490161618,0,162.976770890812,0,162.976770890812,0
104,161.5807517060956,0,161.2421718334972,0,161.2421718334972,0
105,159.8838995353276,0,159.5505267963604,0,159.5505267963604,0
106,158.2285579609628,0,157.900502156098,0,157.900502156098,0
107,156.6129442695914,0,156.2903435103343,0,156.2903435103343,0
108,155.0338632627499,0,154.716818617108,0,154.716818617108,0
109,153.4864882921014,0,153.1751134802244,0,153.1751134802244,0
110,151.9693400297782,0,151.6637633729564,0,151.6637633729564,0
111,150.4835899737321,0,150.1839155755335,0,150.1839155755335,0
112,149.0290486808518,0,148.7353841022672,0,148.7353841022672,0
113,147.5974723130103,0,147.3099415699596,0,147.3099415699596,0
114,146.1871692611588,0,145.9058677559248,0,145.9058677559248,0
115,144.8105288194022,0,144.5355611594707,0,144.5355611594707,0
116,143.4684705425867,0,143.1999528339984,0,143.1999528339984,0
117,142.1612000776371,0,141.8992362537028,0,141.8992362537028,0
118,140.8887342030064,0,140.6334270985733,0,140.6334270985733,0
119,139.6510062515131,0,139.402449368238,0,139.402449368238,0
120,138.4479336171267,0,138.2062373397115,0,138.2062373397115,0
121,137.2795525803313,0,137.0448141287618,0,137.0448141287618,0
122,136.1462969565822,0,135.9186167433888,0,135.9186167433888,0
123,135.0479619619508,0,134.8274310917977,0,134.8274310917977,0
124,133.9843484957571,0,133.7710745742353,0,133.7710745742353,0
125,132.9552718784803,0,132.7493340441573,0,132.7493340441573,0
126,131.9605968409103,0,131.7621097930296,0,131.7621097930296,0
127,131.0001779895512,0,130.8092081934436,0,130.8092081934436,0
128,130.0739075670973,0,129.8905805125692,0,129.8905805125692,0
129,129.1816870528727,0,129.0060664645093,0,129.0060664645093,0
130,128.3234230007221,0,128.1555969538707,0,128.1555969538707,0
131,127.4990284128735,0,127.3390841385409,0,127.3390841385409,0
132,126.7084162812718,0,126.5563421760804,0,126.5563421760804,0
133,125.9515134484231,0,125.8072720682914,0,125.8072720682914,0
134,125.2282320023058,0,125.0917775148556,0,125.0917775148556,0
135,124.5384889435936,0,124.4098024137637,0,124.4098024137637,0
136,123.8821976636305,0,123.7612213052798,0,123.7612213052798,0
137,123.2592447487131,0,123.1459305270311,0,123.1459305270311,0
138,122.6695156254466,0,122.5637975287943,0,122.5637975287943,0
139,122.112891738952,0,122.0147031872581,0,122.0147031872581,0
140,121.5892187208627,0,121.4984721993525,0,121.4984721993525,0
141,121.0983305139874,0,121.014929711132,0,121.014929711132,0
142,120.6400088440628,0,120.5638660632219,0,120.5638660632219,0
143,120.2140269783557,0,120.1450021327852,0,120.1450021327852,0
144,119.8200997566717,0,119.7580839338863,0,119.7580839338863,0
145,119.4578960073244,0,119.4027058519451,0,119.4027058519451,0
146,119.1270203516261,0,119.0785309474083,0,119.0785309474083,0
147,118.8269921250657,0,118.7849558702175,0,118.7849558702175,0
148,118.5572490893448,0,118.5215175342452,0,118.5215175342452,0
149,118.3170956714681,0,118.2873447286975,0,118.2873447286975,0
150,118.1057008001136,0,118.0817263452037,0,118.0817263452037,0
151,117.9220340272208,0,117.9034424174997,0,117.9034424174997,0
152,117.7648048237377,0,117.7512383234962,0,117.7512383234962,0
153,117.6324066293282,0,117.6233775621717,0,117.6233775621717,0
154,117.5226931306243,0,117.517584448775,0,117.517584448775,0
155,117.4327741641551,0,117.4308561209045,0,117.4308561209045,0
156,117.3581669395958,0,117.3580334075606,0,117.3580334075606,0
157,117.2902906124083,0,117.29016118865,0,117.29016118865,0
158,117.225216937101,0,117.2250889617993,0,117.2250889617993,0
159,117.162945926935,0,117.162819337707,0,117.162819337707,0
160,117.1034692774532,0,117.1033440120995,0,117.1033440120995,0
161,117.0467821201878,0,117.0466581166169,0,117.0466581166169,0
162,116.9928974193788,0,116.9927746152125,0,116.9927746152125,0
163,116.9418168164657,0,116.9416951492865,0,116.9416951492865,0
164,116.8935593550345,0,116.8934387620034,0,116.8934387620034,0
165,116.8481392649622,0,116.848019682923,0,116.848019682923,0
166,116.8055797015495,0,116.8054610668298,0,116.8054610668298,0
167,116.7659039952052,0,116.7657862436138,0,116.7657862436138,0
168,116.729153890904,0,116.7290369573203,0,116.7290369573203,0
169,116.6953736551797,0,116.6952574735013,0,116.6952574735013,0
170,116.664556640797,0,116.6644411450666,0,116.6644411450666,0
171,116.6366965468634,0,116.6365816712642,0,116.6365816712642,0
172,116.6117876948053,0,116.6116733736461,0,116.6116733736461,0
173,116.5898250217292,0,116.5897111894322,0,116.5897111894322,0
174,116.5708040745232,0,116.5706906656088,0,116.5706906656088,0
175,116.5547136694955,0,116.5546006187329,0,116.5546006187329,0
176,116.5415505484342,0,116.5414377906661,0,116.5414377906661,0
177,116.5313193904189,0,116.5312068603833,0,116.5312068603833,0
178,116.5240107957819,0,116.5238984284261,0,116.5238984284261,0
179,116.5196306315313,0,116.5195183616731,0,116.5195183616731,0
180,116.5181705775974,0,116.5180583406321,0,116.5180583406321,0
