loop:1,season:59345595,P_air:7.107844669541311e-10,P_ice:0,P_rego:0.0009999992892155331,T_sub:85.0108059128214
0,228.7322632234284,0,229.6908378572883,0,230.189020285024,0
1,228.7289687497469,0,229.7651678449684,0,230.1053084828552,0
2,228.7195185852554,0,229.8360066174184,0,230.054054503174,0
3,228.703905232987,0,229.8950497815553,0,229.9978379350821,0
4,228.6815748043003,0,229.9768480482203,0,229.9312328478227,0
5,228.6524220201888,0,230.0509549920532,0,229.8466776003451,0
6,228.6173643396481,0,230.1058909051098,0,229.7707565327422,0
7,228.5757512429933,0,230.176754532956,0,229.6537782217153,0
8,228.5279551722268,0,230.2391165427781,0,229.5478745012957,0
9,228.4732529959124,0,230.2927539929847,0,229.4282561110095,0
10,228.4125309310716,0,230.3382057135289,0,229.2177245263747,0
11,228.3615561245586,0,230.3770264908657,0,228.1960413639295,0
12,228.3495752858093,0,230.4182655917734,0,227.1089775675672,0
13,228.3814101329229,0,230.4691458564611,0,226.2377289658099,0
14,228.4489936827107,0,230.5311384395838,0,225.5172807830346,0
15,228.5466298406994,0,230.6056567686887,0,224.959590256211,0
16,228.6696710893938,0,230.6932923046174,0,225.5184491416566,0
17,228.8118157921126,0,230.7928873187052,0,226.1830710476612,0
18,228.9674728660443,0,230.9029481430418,0,226.957088462284,0
19,229.13090043242,0,231.0216351209252,0,227.8466246641582,0
20,229.2959106053387,0,231.14685247957,0,228.5612301816754,0
21,229.4564224464713,0,231.276839194436,0,228.6745994513102,0
22,229.6080692612209,0,231.4113385362228,0,228.7383974567315,0
23,229.7457293216543,0,231.5505220966001,0,228.801678322975,0
24,229.8644018287961,0,231.6961331022472,0,228.8624151085043,0
25,229.9617413964382,0,231.8532121099434,0,228.9217092453225,0
26,230.0343816382963,0,232.0285008355631,0,229.0056371573125,0
27,230.0804626656649,0,232.2264674796753,0,229.0955461611764,0
28,230.0991330550511,0,232.4551487117778,0,229.2069207876708,0
29,230.2658739370947,0,232.7199752336665,0,229.3592185610837,0
30,230.6290891979903,0,232.9898254746194,0,229.4873801638772,0
31,230.9908630532944,0,233.2562669967571,0,229.6113213028736,0
32,231.349718226443,0,233.5179490379091,0,229.7021824621749,0
33,231.7043719270151,0,233.77374173706,0,229.7823745287367,0
34,232.0537721577965,0,234.022763749239,0,229.8584076091738,0
35,232.3970106691864,0,234.2641900863502,0,229.9214163210878,0
36,232.7332762018893,0,234.4972945694933,0,229.9238465757571,0
37,233.0618819727441,0,234.7215473537033,0,230.0384266355942,0
38,233.3821982616429,0,234.9363979350256,0,230.1506775292968,0
39,233.6936992202305,0,235.1413722633621,0,230.3134654719333,0
40,233.9958779963972,0,235.3360429780082,0,230.4672966140509,0
41,234.2882969180992,0,235.5201091017991,0,230.6279116079942,0
42,234.5705874824443,0,235.6932410275017,0,230.8119993901663,0
43,234.8423710691843,0,235.8550919216045,0,231.0175990668503,0
44,235.103339406083,0,236.0054352950561,0,231.239450412448,0
45,235.3531814829708,0,236.1440830427289,0,231.4722304091074,0
46,235.591654187841,0,236.2708100399222,0,231.7114186895266,0
47,235.8184882067964,0,236.3853620228758,0,231.9533055195411,0
48,236.0334743570406,0,236.4876048782702,0,232.1949922585855,0
49,236.2364113709792,0,236.5774734527929,0,232.43420244685,0
50,236.427098978075,0,236.6547671028768,0,232.6691350225663,0
51,236.6053766403336,0,236.7193215009505,0,232.8983827203556,0
52,236.7710749503435,0,236.7710181269724,0,233.1207924017742,0
53,236.9240527458463,0,236.8099051365297,0,233.3354938313866,0
54,237.0641739862478,0,236.8358244535089,0,233.5417045818197,0
55,237.1913262070629,0,236.8486238133754,0,233.7388414224791,0
56,237.3053886201521,0,236.8481891087956,0,233.9263638138919,0
57,237.4062680975775,0,236.8347499888332,0,234.1038559351249,0
58,237.4938638614765,0,236.8081207744335,0,234.2709252149965,0
59,237.5681000774479,0,236.7680831135191,0,234.4272548170532,0
60,237.6288985054738,0,236.714568124407,0,234.5725488871524,0
61,237.6761983298302,0,236.6481845429886,0,234.706572905073,0
62,237.7099367652179,0,236.5682865129336,0,234.8290973092421,0
63,237.7300629958548,0,236.47490041323,0,234.9399244239409,0
64,237.7365369279844,0,236.3682153612252,0,235.0388897844888,0
65,237.729320823109,0,236.248365462197,0,235.1258372244021,0
66,237.7083906949842,0,236.1150911842329,0,235.2006302370831,0
67,237.6737175409416,0,235.9684445029717,0,235.2631418046324,0
68,237.6252925527872,0,235.80854459674,0,235.313282105306,0
69,237.5631052806925,0,235.6354919708266,0,235.3509372078401,0
70,237.4871541897855,0,235.4491856349298,0,235.3760343277806,0
71,237.3974460841583,0,235.2496727241978,0,235.3885202666741,0
72,237.2939928197291,0,235.0370617289128,0,235.3883065388687,0
73,237.1768518030008,0,234.8115065417686,0,235.3754151425098,0
74,237.0462306243209,0,234.5731788163679,0,235.3499560280391,0
75,236.9022352105697,0,234.3222172190153,0,235.3120099113684,0
76,236.7449679172709,0,234.0588306816726,0,235.2615825624289,0
77,236.5745672634297,0,233.7832822840634,0,235.198794916112,0
78,236.3912039700756,0,233.4958023678911,0,235.1237262477892,0
79,236.1951157140055,0,233.1967942501483,0,235.0365838234536,0
80,235.9865831007519,0,232.8868732444724,0,234.9375944544725,0
81,235.7659695304819,0,232.5669484404836,0,234.8270489405794,0
82,235.5337210292908,0,232.2382828543476,0,234.7053797873932,0
83,235.2903717480657,0,231.9028609099306,0,234.573038969068,0
84,235.0365793140669,0,231.5637536923647,0,234.4306500681166,0
85,234.7731284912321,0,231.2263825972548,0,234.2789684038326,0
86,234.5008942691153,0,230.8983843857183,0,234.1187791581563,0
87,234.2208970584144,0,230.5930752801177,0,233.9510951515651,0
88,233.9342672107094,0,230.3320032184407,0,233.776997361722,0
89,233.6423609491719,0,230.1494425339459,0,233.5977599290036,0
90,233.3466337104863,0,230.0674888871349,0,233.4148184570254,0
91,233.0487111114137,0,229.9775448490426,0,233.2297519824612,0
92,232.7503994666938,0,229.8780892533996,0,233.0442638343393,0
93,232.4537775751164,0,229.7643852206332,0,232.8603541354872,0
94,232.1609007853564,0,229.5811759113676,0,232.679998200881,0
95,231.8744506530322,0,229.1543084658703,0,232.5056492303391,0
96,231.5969413498812,0,228.7101433933316,0,232.3394749294946,0
97,231.331336395766,0,228.2811288538588,0,232.183874356629,0
98,231.0808608389995,0,227.8676747106496,0,232.0408132625811,0
99,230.8492269961221,0,227.4671559097369,0,231.911350712501,0
100,230.6402629657732,0,227.0698971984075,0,231.7937131820483,0
101,230.4582175615237,0,226.6526252259459,0,231.6801855273999,0
102,230.3078953989695,0,226.1656074396226,0,231.5493048058057,0
103,230.1945278415223,0,225.5076141639008,0,231.3500840568582,0
104,230.1232096886091,0,224.479100015185,0,230.9690165995081,0
105,229.33487990748,0,222.8079734226529,0,230.2779091679884,0
106,227.5744141467152,0,220.966887525308,0,229.7623108705355,0
107,225.7850580164439,0,219.0994141251383,0,228.4284355459104,0
108,223.967461741358,0,217.2062388618592,0,226.744021715671,0
109,222.1222495203502,0,215.2880789699588,0,225.031187254454,0
110,220.2500690923345,0,213.3456262545487,0,223.2904817311899,0
111,218.3515914497375,0,211.3796508532886,0,221.5224710209139,0
112,216.4274859515055,0,209.3908918096129,0,219.7277708713744,0
113,214.4784454922772,0,207.3801246801441,0,217.9071699300132,0
114,212.5051850988995,0,205.3481695673134,0,216.0612740752503,0
115,210.5084413866878,0,203.2958635338609,0,214.1906813666129,0
116,208.4889944203632,0,201.2240798884858,0,212.2960663163341,0
117,206.4475756684888,0,199.1337017718017,0,210.3784003446433,0
118,204.3850040124863,0,197.0256727128325,0,208.4383631805664,0
119,202.3020935165249,0,194.9009624172463,0,206.4764805850945,0
120,200.1996983692435,0,192.7605995912489,0,204.4934830755259,0
121,198.0786682206268,0,190.6056404018934,0,202.4909740129125,0
122,195.9398722292747,0,188.4371733480763,0,200.4689733069973,0
123,193.7842827929189,0,186.2564497451562,0,198.4284813841035,0
124,191.6128086688086,0,184.0646416814901,0,196.37059945679,0
125,189.4264236454555,0,181.8630534524798,0,194.2963443148052,0
126,187.2261671007576,0,179.6531860835757,0,192.2064187994189,0
127,185.0130853943846,0,177.4366327001826,0,190.1018776917832,0
128,182.788243726256,0,175.2151428229748,0,187.9838269441191,0
129,180.5527930398385,0,172.9906882066127,0,185.8534280747237,0
130,178.3078856239379,0,170.7654887088933,0,183.7116380172831,0
131,176.0547783397686,0,168.5420858763776,0,181.5596666389485,0
132,173.7947042650358,0,166.3233429213913,0,179.3987500301268,0
133,171.5290464105834,0,164.1126853945126,0,177.2302656869361,0
134,169.2592131054452,0,161.914043759426,0,175.0554813890262,0
135,166.986648878539,0,159.731964915105,0,172.8757667709439,0
136,164.7129555642586,0,157.5717601828865,0,170.6927067704398,0
137,162.4397770327518,0,155.4393758656797,0,168.507922326784,0
138,160.1689167424737,0,153.3410778795215,0,166.3230887034939,0
139,157.9022351656481,0,151.2822794303343,0,164.139982568907,0
140,155.6417869354587,0,149.2636931149862,0,161.96062193546,0
141,153.3897924044207,0,147.2666707471029,0,159.7871802508846,0
142,151.1486037287135,0,145.2813144843509,0,157.6218664215664,0
143,148.9208817335692,0,143.3101346799527,0,155.4672544657232,0
144,146.7094973211354,0,141.3558430854716,0,153.3261524984949,0
145,144.5176502897386,0,139.4214704052937,0,151.201667456891,0
146,142.3489520429559,0,137.5104474826097,0,149.0972401029343,0
147,140.2074747199191,0,135.6266525825389,0,147.0168409810788,0
148,138.0979025507798,0,133.77456048691,0,144.96504651104,0
149,136.0256595250252,0,131.959367374459,0,142.9470860468841,0
150,133.9972158878071,0,130.1872938381462,0,140.9692440564159,0
151,132.0203856059699,0,128.4658779604307,0,139.0391679621175,0
152,130.1050020945147,0,126.8046454009952,0,137.1664501298899,0
153,128.2639627034063,0,125.2161464859484,0,135.3636883468271,0
154,126.5157734940351,0,123.7184909109859,0,133.649103417047,0
155,124.8942202363481,0,122.3450036524916,0,132.0561035579492,0
156,123.4591475773212,0,121.1549793217446,0,130.6440320683945,0
157,122.1675115916735,0,120.1047274346062,0,129.3693204767099,0
158,120.996093198745,0,119.170252476518,0,128.2080464012358,0
159,119.9343247169161,0,118.3400440671639,0,127.1487745944762,0
160,118.9757764145871,0,117.606519314295,0,126.1840474914874,0
161,118.1162625078552,0,116.9640732258366,0,125.3083203462596,0
162,117.352622706584,0,116.4077923273021,0,124.516793713785,0
163,116.6818906773229,0,115.9325429478792,0,123.8044379231514,0
164,116.1014186788678,0,115.5330069280396,0,123.1660222629061,0
165,115.6085905476437,0,115.2033083745577,0,122.5957985728064,0
166,115.2005640803012,0,114.9367018360072,0,122.0871044154296,0
167,114.8738438080938,0,114.7251938358044,0,121.6320902339211,0
168,114.6236714924237,0,114.5592601319545,0,121.221321882623,0
169,114.4429203830025,0,114.4278248211357,0,120.843872705808,0
170,114.3189509991836,0,114.3187699691225,0,120.4877265812514,0
171,114.2228003508368,0,114.2226892626512,0,120.1436356239838,0
172,114.137659899952,0,114.1375505101728,0,119.8096981518767,0
173,114.0631557932302,0,114.0630478896778,0,119.4857533791903,0
174,113.9990518941649,0,113.9989452693726,0,119.1717341824247,0
175,113.9451374981623,0,113.9450319488671,0,118.8675958112007,0
176,113.9012508099937,0,113.9011461361605,0,118.5733368045292,0
177,113.8672487506395,0,113.867144755087,0,118.2890344450786,0
178,113.843033092854,0,113.8429295803614,0,118.0147854649688,0
179,113.8285336973884,0,113.8284304741336,0,117.7507473231937,0
180,113.8237098377338,0,113.8236067107301,0,117.4971274421452,0
