loop:1,season:5.93465e+07,P_air:8.46709e-07,P_ice:0,P_rego:0.00699915,T_sub:104.81
0,230.5614391904689,0,232.2659964406737,0,232.7608113371016,0
1,230.5559925942584,0,232.3848732488887,0,232.6225585860014,0
2,230.5396583417138,0,232.4936989447464,0,232.4744957251965,0
3,230.5124442306966,0,232.592323275564,0,232.3168452052392,0
4,230.4743633546455,0,232.6806133414799,0,232.1498951222098,0
5,230.4254341631962,0,232.7584538247852,0,231.9739629576571,0
6,230.3656774637414,0,232.8257411605649,0,231.7894300117441,0
7,230.2951224732328,0,232.8823819465444,0,231.5967209714713,0
8,230.2138073009447,0,232.9283394090519,0,231.3962828261633,0
9,230.1217704860996,0,232.9635253029706,0,231.1887725437963,0
10,230.0269090345058,0,232.9879773441752,0,230.9750454782744,0
11,229.9368940191111,0,233.0030983747885,0,229.953333713455,0
12,229.8739355279755,0,233.016244959258,0,228.8594215750454,0
13,229.8456129534683,0,233.0361874354835,0,227.8847803129406,0
14,229.8536693397039,0,233.0694909235284,0,227.0859750164115,0
15,229.8969092373056,0,233.1204460304516,0,226.4681052419317,0
16,229.9728515085154,0,233.1914694365529,0,227.0388956695255,0
17,230.0780200787258,0,233.2837346312138,0,227.7261709599877,0
18,230.2259621558858,0,233.3973274543447,0,228.4994617120309,0
19,230.4064649447593,0,233.5311599196514,0,229.3128861328668,0
20,230.6135232931283,0,233.6840487264031,0,229.9940604059586,0
21,230.844495051522,0,233.8545219239533,0,230.0914440021797,0
22,231.0969433273427,0,234.0411229013768,0,230.2042028156645,0
23,231.3686728776913,0,234.2423715442195,0,230.3481112645167,0
24,231.6578648230142,0,234.4570362153659,0,230.506282097743,0
25,231.9634247725565,0,234.68453072987,0,230.678130318417,0
26,232.2861685198795,0,234.9260305296998,0,230.8648945146326,0
27,232.6198236779863,0,235.1756026955747,0,231.0606586453712,0
28,232.9591854846778,0,235.4283433405928,0,231.2605222024218,0
29,233.3012030388189,0,235.6813981102127,0,231.4616974933096,0
30,233.6436312439066,0,235.9327424374564,0,231.6621700974982,0
31,233.9847047817215,0,236.1808195398585,0,231.8603790186639,0
32,234.3229867964597,0,236.4243139451341,0,232.0550700727653,0
33,234.6572877573819,0,236.6621738895073,0,232.2452184282631,0
34,234.9866066401947,0,236.893573571592,0,232.4299727055018,0
35,235.3100946733255,0,237.1177511335679,0,232.6086211349758,0
36,235.6270114550722,0,237.334041411448,0,232.7805494690361,0
37,235.9367216648414,0,237.5419571808308,0,232.9452392873544,0
38,236.2386660420793,0,237.7410292981623,0,233.1022402449447,0
39,236.5323524899746,0,237.9308155827894,0,233.2511622765295,0
40,236.8173434234273,0,238.1109432872402,0,233.3916637764118,0
41,237.0932525592115,0,238.2811665931467,0,233.5373931510596,0
42,237.3597289962497,0,238.4411794335701,0,233.7064573944283,0
43,237.6164603147487,0,238.5906978003764,0,233.8974139074174,0
44,237.8631627196813,0,238.7295043112561,0,234.1051055720338,0
45,238.0995775408261,0,238.8574746714485,0,234.3242843365613,0
46,238.3254722166965,0,238.9743933138981,0,234.5504302929768,0
47,238.5406319815296,0,239.0800601868652,0,234.7799238702371,0
48,238.7448629369993,0,239.1743413285996,0,235.0098976762938,0
49,238.937983966331,0,239.2572017008973,0,235.23812822179,0
50,239.1198334060394,0,239.3284800809048,0,235.4628735851285,0
51,239.2902595207305,0,239.3880192713628,0,235.6827710263987,0
52,239.4491230144,0,239.4357199914774,0,235.8967368152578,0
53,239.5962978673019,0,239.4716494663983,0,236.103859644803,0
54,239.7316665006435,0,239.4956723957361,0,236.3034656140735,0
55,239.8551228603664,0,239.5076400691793,0,236.4949659349651,0
56,239.966568958716,0,239.5074548777266,0,236.6778479973875,0
57,240.0659152989153,0,239.4953482759328,0,236.8517053243409,0
58,240.1530796418249,0,239.4711578895299,0,237.0161758756661,0
59,240.2279903650799,0,239.4346684445174,0,237.1709480750899,0
60,240.2905792303844,0,239.3858214908549,0,237.3157561395352,0
61,240.3407885091945,0,239.3252132500525,0,237.4503508619691,0
62,240.3785641632601,0,239.2522200970886,0,237.5745251647272,0
63,240.4038605146259,0,239.1668709921698,0,237.6880945852124,0
64,240.4166378355626,0,239.0693544333215,0,237.790891812277,0
65,240.4168609272326,0,238.9598001147259,0,237.8827654439853,0
66,240.4045026452396,0,238.8379450327729,0,237.9635806514799,0
67,240.3795393325866,0,238.7038505670016,0,238.033207171499,0
68,240.3419536912726,0,238.557627959125,0,238.0915680027813,0
69,240.2917339071356,0,238.3993694790505,0,238.1385389670018,0
70,240.22887226132,0,238.2289613475496,0,238.1740487261426,0
71,240.1533671943386,0,238.046449726086,0,238.1980213098293,0
72,240.0652201383147,0,237.8519303114641,0,238.2103801459497,0
73,239.9644386220258,0,237.6454999930349,0,238.2110891274898,0
74,239.8510330113004,0,237.4271140192428,0,238.2000660286484,0
75,239.7250171362779,0,237.196818640591,0,238.1772938466167,0
76,239.5864094539038,0,236.9547115982078,0,238.1427102604888,0
77,239.4352298955442,0,236.7008916433362,0,238.0962939123613,0
78,239.2715005986211,0,236.4353448110227,0,238.0380094179905,0
79,239.0952438618481,0,236.158128397942,0,237.9678158646028,0
80,238.9064800419503,0,235.8693376340954,0,237.8857090880507,0
81,238.7052269720351,0,235.5690556308165,0,237.7916206214483,0
82,238.4914929169673,0,235.2572651833202,0,237.685550207458,0
83,238.2652729657495,0,234.9340215958702,0,237.5674197453353,0
84,238.0265349112305,0,234.5993850721389,0,237.4371464373478,0
85,237.775201943573,0,234.2533505776034,0,237.2946373830394,0
86,237.5111210962905,0,233.8958168742851,0,237.1396614901756,0
87,237.2340011021676,0,233.5266840578413,0,236.971894218078,0
88,236.9433107052385,0,233.1456845965937,0,236.7907847568982,0
89,236.638103652252,0,232.7521574049539,0,236.595302424094,0
90,236.3167690299857,0,232.3450160851283,0,236.3838065886076,0
91,235.9766595540419,0,231.9223633606645,0,236.1536303615804,0
92,235.6136872072411,0,231.4806516959284,0,235.9005912860548,0
93,235.221844644107,0,231.0157891985694,0,235.6186026638088,0
94,234.7927076098544,0,230.5196471682887,0,235.2991805366963,0
95,234.3150011615084,0,229.9723535841437,0,234.9308771871522,0
96,233.7739385147594,0,229.211134343241,0,234.4987451421185,0
97,233.1507056116682,0,228.2846819378775,0,233.9841684683849,0
98,232.4217805914756,0,227.2217076356871,0,233.3648112395082,0
99,231.5579842236167,0,225.9948509643288,0,232.6157515610942,0
100,230.5238943528364,0,224.5836683320689,0,231.7143964600086,0
101,229.14782688368,0,223.016843376719,0,230.6785400741084,0
102,227.6313136865067,0,221.4114691355227,0,229.572294233748,0
103,226.0846926759046,0,219.7782243639113,0,228.1802062017266,0
104,224.5085290242276,0,218.1177258650025,0,226.7386782082497,0
105,222.9034079080793,0,216.4306351847442,0,225.2675723748314,0
106,221.2699400740431,0,214.7175958673149,0,223.7674111213393,0
107,219.6087521695019,0,212.9793179710327,0,222.2387303248034,0
108,217.9204952019399,0,211.216492514723,0,220.6821344500227,0
109,216.2058332649647,0,209.429876507482,0,219.0983345828487,0
110,214.4654502149417,0,207.6202043150634,0,217.4879194966144,0
111,212.7000421864283,0,205.7882512230634,0,215.8514804856688,0
112,210.9103186365822,0,203.9348156428485,0,214.189663661104,0
113,209.0970028061811,0,202.0606951884606,0,212.5032929448478,0
114,207.260832740412,0,200.1667283103687,0,210.7930043471887,0
115,205.4025533443032,0,198.2537660674389,0,209.0594031880425,0
116,203.5229285229811,0,196.3226738536048,0,207.3031417236118,0
117,201.6227340058533,0,194.3743571557811,0,205.5252347469258,0
118,199.702761092058,0,192.4097493994243,0,203.7263446088922,0
119,197.7638175976172,0,190.4298064612569,0,201.9069876483078,0
120,195.8067255297105,0,188.4355310458517,0,200.0678615439917,0
121,193.8323309603614,0,186.4279609915264,0,198.21056179282,0
122,191.8414970012378,0,184.408205733886,0,196.3351074136757,0
123,189.8351124388492,0,182.3774048154645,0,194.4424167522321,0
124,187.8140865983448,0,180.3367982620643,0,192.5335956369301,0
125,185.7793603143641,0,178.2877004018702,0,190.6096185436753,0
126,183.7318993811161,0,176.2315470941084,0,188.6711165175185,0
127,181.6727043054315,0,174.1698734888057,0,186.7191054413729,0
128,179.6028060563647,0,172.1042959925692,0,184.7546589400451,0
129,177.523276553601,0,170.0367427052308,0,182.7788531612732,0
130,175.4352270100102,0,167.9693473947455,0,180.7926000427514,0
131,173.339819348527,0,165.9045748152831,0,178.7970249006964,0
132,171.2382585126819,0,163.8452758992196,0,176.793336455821,0
133,169.1318105975601,0,161.794745492221,0,174.7827932245984,0
134,167.0218021535634,0,159.7568530564414,0,172.76657027033,0
135,164.9096329977911,0,157.7360914316863,0,170.7460074303647,0
136,162.7967745829407,0,155.7376538302902,0,168.7225580843875,0
137,160.6847928516993,0,153.7673612371557,0,166.6977649096555,0
138,158.575353632163,0,151.8312992862637,0,164.6731533085852,0
139,156.4702388589338,0,149.9346024710499,0,162.6504361900631,0
140,154.3713600232996,0,148.0771246471224,0,160.6314893668292,0
141,152.2807879392537,0,146.2390148241533,0,158.6183310057629,0
142,150.2007685004994,0,144.4122930742188,0,156.6130574364072,0
143,148.1337646940156,0,142.5992726432799,0,154.6180575368221,0
144,146.0824882356876,0,140.8025068231276,0,152.6359824484127,0
145,144.0499504204161,0,139.0248385347633,0,150.6697361148302,0
146,142.0395356437033,0,137.2694723227644,0,148.7225400336698,0
147,140.0550810137957,0,135.5400521138574,0,146.7981363263185,0
148,138.1009880996817,0,133.8407706971303,0,144.9008139476597,0
149,136.1823978636321,0,132.1765418565443,0,143.0355105159686,0
150,134.3054140614897,0,130.5532202779127,0,141.2081585403835,0
151,132.4774727182255,0,128.9779666083125,0,139.4260260581241,0
152,130.7079438421142,0,127.4598434943238,0,137.6982246956365,0
153,129.0092822120427,0,126.0109588999119,0,136.0369248840535,0
154,127.3997666779347,0,124.6491951654943,0,134.4601267966657,0
155,125.9170391794382,0,123.4117321048887,0,133.0050677615949,0
156,124.6016838307735,0,122.3386041172191,0,131.7118502521656,0
157,123.4118472796919,0,121.3873116504846,0,130.5380973360332,0
158,122.3310225947845,0,120.5405704182265,0,129.4665794540682,0
159,121.3509984004569,0,119.789225177862,0,128.4882348253336,0
160,120.4666411495988,0,119.1269874136669,0,127.5968896859505,0
161,119.6743880852902,0,118.5488724457662,0,126.7876162690775,0
162,118.9715249053499,0,118.0504088967789,0,126.0560731996532,0
163,118.355738722566,0,117.6271113290102,0,125.3978554054192,0
164,117.824920537631,0,117.2741940786259,0,124.8082770844597,0
165,117.3769218473569,0,116.9862430244441,0,124.2820502228977,0
166,117.0092761413617,0,116.7568869515235,0,123.812887660567,0
167,116.718807722565,0,116.5784656363175,0,123.3932653596469,0
168,116.5010047358487,0,116.4417565212816,0,123.0140550660589,0
169,116.3488066782872,0,116.3359233572456,0,122.6645692561569,0
170,116.2492931641471,0,116.2491968085388,0,122.3331464337922,0
171,116.1729379219305,0,116.1728521077206,0,122.0111998362528,0
172,116.1053278618897,0,116.1052435275942,0,121.6972330730479,0
173,116.0462078877467,0,116.0461248475205,0,121.3911362152345,0
174,115.9953658079344,0,115.9952838805688,0,121.0928609447924,0
175,115.9526287580364,0,115.9525477661235,0,120.8024055752392,0
176,115.9178512783469,0,115.9177710476581,0,120.5197927303199,0
177,115.8909186642718,0,115.8908390230946,0,120.2451056452903,0
178,115.8717415009028,0,115.8716622794766,0,119.9784668224621,0
179,115.8602618570824,0,115.8601828869338,0,119.7200378153202,0
180,115.856436861028,0,115.8563579946077,0,119.4700295555981,0
